id,date,employee,action,frame_0,frame_50,frame_150,frame_250,bbox_0,bbox_1,bbox_2,bbox_3,average_persons_cnt,door_state_before,door_state_after,frame_0_door,frame_50_door,frame_150_door,frame_250_door
1256,2022-05-24 08:08:36,2,15.0,actions\action_1256_0.jpg,actions\action_1256_50.jpg,,nan,"[-1, -1, -1, -1]","[-1, -1, -1, -1]","[-1, -1, -1, -1]","[-1, -1, -1, -1]",0.0,0,0,0,0,-1,-1
1257,2022-05-24 08:08:37,2,4.0,actions\action_1257_0.jpg,actions\action_1257_50.jpg,actions\action_1257_150.jpg,actions\action_1256_250.jpg,"[-1, -1, -1, -1]","[-1, -1, -1, -1]","[-1, -1, -1, -1]","[-1, -1, -1, -1]",0.0,0,0,0,0,0,0
1258,2022-05-24 08:12:13,3,15.0,actions\action_1258_0.jpg,actions\action_1258_50.jpg,actions\action_1258_150.jpg,actions\action_1258_250.jpg,"[-1, -1, -1, -1]","[1642.3603515625, 467.278076171875, 1693.84619140625, 628.2196044921875]","[1607.45166015625, 527.3698120117188, 1683.110107421875, 745.0601196289062]","[1429.568603515625, 621.5482788085938, 1554.6396484375, 1045.9775390625]",0.75,0,0,0,0,0,0
1259,2022-05-24 08:12:25,3,2.0,actions\action_1259_0.jpg,actions\action_1259_50.jpg,actions\action_1259_150.jpg,actions\action_1259_250.jpg,"[-1, -1, -1, -1]","[-1, -1, -1, -1]","[-1, -1, -1, -1]","[-1, -1, -1, -1]",0.0,0,0,0,0,0,0
1260,2022-05-24 08:12:42,3,12.0,actions\action_1260_0.jpg,actions\action_1260_50.jpg,actions\action_1260_150.jpg,nan,"[1385.685791015625, 657.8060302734375, 1524.093505859375, 1080.7337646484375]","[1505.6669921875, 574.052734375, 1605.201416015625, 869.3529052734375]","[-1, -1, -1, -1]","[-1, -1, -1, -1]",0.5,0,0,0,0,0,-1
1261,2022-05-24 08:12:50,3,3.0,actions\action_1261_0.jpg,actions\action_1261_50.jpg,actions\action_1261_150.jpg,actions\action_1260_250.jpg,"[-1, -1, -1, -1]","[-1, -1, -1, -1]","[-1, -1, -1, -1]","[-1, -1, -1, -1]",0.0,0,0,0,0,0,0
1262,2022-05-24 08:12:58,3,13.0,actions\action_1262_0.jpg,actions\action_1262_50.jpg,actions\action_1262_150.jpg,actions\action_1261_250.jpg,"[1547.1932373046875, 491.3136901855469, 1608.6756591796875, 721.1272583007812]","[1540.751708984375, 519.3071899414062, 1618.470458984375, 765.4441528320312]","[1516.912109375, 558.7427978515625, 1616.2998046875, 883.603271484375]","[1534.197265625, 521.7959594726562, 1612.909423828125, 739.7460327148438]",1.0,0,0,0,0,0,0
1263,2022-05-24 08:13:08,3,2.0,actions\action_1263_0.jpg,actions\action_1263_50.jpg,actions\action_1263_150.jpg,actions\action_1262_250.jpg,"[-1, -1, -1, -1]","[-1, -1, -1, -1]","[-1, -1, -1, -1]","[-1, -1, -1, -1]",0.0,0,0,0,0,0,0
1264,2022-05-24 08:14:06,2,14.0,actions\action_1264_0.jpg,actions\action_1264_50.jpg,actions\action_1264_150.jpg,actions\action_1264_250.jpg,"[-1, -1, -1, -1]","[1666.6099853515625, 497.86224365234375, 1713.6439208984375, 641.7398071289062]","[1613.5830078125, 550.7900390625, 1684.787353515625, 770.701416015625]","[1539.2047119140625, 723.970458984375, 1653.3018798828125, 1103.3238525390625]",0.75,0,0,0,0,0,0
1265,2022-05-24 08:14:20,2,9.0,actions\action_1265_0.jpg,actions\action_1265_50.jpg,,nan,"[-1, -1, -1, -1]","[-1, -1, -1, -1]","[-1, -1, -1, -1]","[-1, -1, -1, -1]",0.0,0,0,0,0,-1,-1
